000005-fra.3, 3193380, 36915131, 205574953, 80934195, 84609591, 217439040, 176137246, 12532848, 53663296, 43825857, 65984200, 253868274, 465852362, 48211946, 3072797, 7949505, 71751126, 23694295, 23251335, 390507087, 407307656, 611809, 329775686, 137968873, 90511480, 7317272, 135688140, 33957090, 43148028, 58158870, 262821134, 60245518, 61560417, 85071762, 84628538, 50159655, 21137199, 85487865, 384928741, 183060532, 54307841, 39596016, 4079744, 39371105, 3290651, 179591675, 373612838, 16342350, 351882471, 124176958, 57939929, 87009715, 152778546, 4516051, 173576622, 137845343, 3509136, 3887681, 144964402, 193343736, 272760558, 11923444, 162064009, 22724468, 55589537, 43665098, 251352186, 103563761, 119367877, 20686342, 14769396, 124316557, 229987745, 18197837, 969410, 109433899, 141108015, 118302521, 18449125, 14443914, 70163993, 21487038, 231026795, 37033211, 346928947, 25021246, 158186543, 242757028, 185821003, 29355692, 79004106, 120895830, 87638218, 36675741, 13617058, 8059592, 89765778, 81323502, 299824442, 183620028, 180308175, 178355316, 74923690, 6659141, 48346668, 17322749, 99590964, 15549383, 20176174, 5700401, 389252178, 248848144, 35765313, 86640749, 357783952, 237832743, 186186302, 221774754, 20183669, 168605956, 44527045, 35936674, 141144311, 123712205, 11913807, 144843769, 379628609, 23110691, 44902609, 106765780, 20747843, 118512658, 5258205, 496033145, 171681226, 55043958, 276937449, 29815345, 315588626, 181715800, 167450451, 80817367, 24153092, 251339013, 127791904, 210627262, 114179504, 17496337, 277544043, 15439245, 3003124, 160926995, 305406183, 367495765, 10060708, 74362299, 34528644, 121890413, 203435826, 157886473, 94440256, 143523215, 111403821, 257809584, 280211424, 161077991, 84156344, 107437546, 46968553, 31114619, 19242513, 6582424, 37260938, 40124260, 240695680, 71295905, 9896868, 129724508, 85242876, 97165790, 234217192, 93783605, 6967428, 68473962, 106464271, 306701064, 311790490, 465622068, 25869059, 73224816, 66574476, 196892859, 87499921, 237881509, 181661766, 214347622, 11369175, 179810801, 190801050, 43474869, 36801122, 288907578, 383224526, 62843084, 83228318, 104893973, 207703723, 161902038, 92090160, 9787473, 11747555, 78591978, 79534689, 91782033, 110819114, 23293998, 122284969, 85921753, 26955637, 64567680, 70683172, 15069316, 100366943, 48721781, 111031627, 119478851, 13746671, 77826519, 4110340, 237645792, 40034864, 90977256, 138847178, 248954817, 264719096, 20768876, 536890148, 87786300, 111080822, 96922330
000030-eng.6, 121685834, 44486374, 259725986, 35096536, 74702673, 441109080, 221699814, 208025192, 49221890, 352322738, 2388773, 32590439, 251232255, 486606515, 34203018, 724106102, 199589353, 33318084, 215072118, 455724791, 351224341, 277336404, 444258708, 122902725, 210248329, 313700743, 262306476, 11541049, 264607636, 141730673, 42435969, 258805327, 454853371, 436471073, 222298609, 328175244, 673661879, 155226481, 408643472, 943944049, 858832917, 138061607, 608215048, 452375932, 137286424, 176465743, 101432952, 253728240, 230006992, 1183741210, 859298529, 437025320, 89943279, 42363801, 644875064, 88238624, 274969410, 2600644, 224649736, 141556375, 9024569, 234146086, 609955335, 408295065, 131764487, 213573249, 448067042, 562265340, 24939477, 95311489, 207690028, 8592206, 411358160, 346804129, 227717659, 336047859, 8259641, 621805758, 1244879386, 487294665, 87140745, 306022973, 194240539, 14935806, 25341644, 287892851, 29804399, 222268784, 527949323, 119973935, 219764810, 23013913, 46364867, 55037740, 211573341, 102943110, 207195291, 886818577, 54742120, 400166452, 276067821, 167074288, 102505453, 635332167, 434386237, 27868662, 42976246, 73854832, 33183362, 478629232, 69458989, 111543327, 378711859, 981005214, 351885071, 17760372, 598633842, 238451846, 23503847, 449511300, 331753340, 349644833, 6644635, 544135747, 139085903, 120463498, 436959873, 6019054, 691599158, 49958289, 428875526, 293153429, 284432946, 186528400, 345496633, 56829852, 537861866, 848473022, 38219186, 189436736, 316796506, 82636683, 648201806, 624150448, 423120755, 93501550, 64547595, 360151532, 317842705, 262258372, 308638175, 125576530, 364922172, 33958058, 208049200, 526187666, 109610840, 102201264, 714513057, 63402695, 202352465, 186054879, 10187956, 157609429, 126255176, 358205712, 16582997, 70452636, 220448671, 327185714, 493230101, 130649097, 56494879, 224035769, 990208870, 77104997, 274048632, 290203045, 863584275, 186469619, 146938827, 396157196, 81044374, 8052461, 609585376, 427971508, 223338032, 3091949, 872652585, 239639514, 465960595, 192480907, 197407659, 90096903, 364022213, 149653245, 8699653, 2877502, 36343270, 389978264, 1028387645, 398817277, 176311978, 301387498, 5889398, 193596964, 65724174, 210121757, 23079301, 292266894, 137489028, 283540441, 74102697, 115289738, 909342995, 512208167, 1002609339, 69285137, 939713402, 453962010, 191294225, 42805984, 171803799, 124552370, 306302953, 193789291, 88549606, 260341256, 710533613, 203089629, 264537191, 319896174, 182703214, 47275689, 44344423, 134880200, 597028839, 107330423, 121651500, 482912614
00010001-fra.5, 346967, 223732, 127961, 174951, 913232, 26312, 98317, 60493, 31415, 73842, 169123, 439381, 8589, 5045, 178301, 193188, 702, 308386, 43416, 76677, 124283, 54230, 77139, 15096, 185794, 238752, 298304, 285461, 34687, 39962, 131385, 29320, 300293, 302194, 182542, 50714, 136728, 27671, 12134, 376786, 152101, 156488, 2371, 221089, 404413, 153364, 47979, 30406, 254071, 69406, 163902, 73952, 153019, 203995, 389773, 6663, 91867, 67040, 93589, 279205, 84372, 225835, 118324, 468483, 108064, 235441, 9529, 594975, 113293, 2900, 92989, 167498, 158462, 56058, 96801, 104988, 421364, 145676, 410775, 14589, 12253, 571619, 26625, 183354, 122607, 414078, 19184, 33110, 348575, 62574, 197480, 306722, 23140, 16106, 505868, 88459, 235574, 64448, 831069, 506880, 7643, 40528, 180408, 351931, 27225, 655172, 84368, 525582, 91706, 366343, 82059, 13381, 249771, 230428, 241497, 82287, 1023045, 329852, 1089223, 83213, 523601, 91002, 44553, 608836, 166963, 78856, 256277, 57747, 76978, 16610, 45062, 379999, 608937, 390497, 164626, 93918, 88620, 61948, 110988, 38312, 45285, 75417, 749176, 457433, 78128, 205584, 138249, 16071, 148413, 65515, 751162, 118371, 331948, 123218, 3896, 36377, 21774, 301638, 43588, 344468, 4981, 16398, 268538, 155787, 474765, 11819, 87850, 520107, 140025, 39803, 543453, 29362, 20227, 71408, 276320, 8826, 130883, 51057, 67132, 52080, 220004, 127055, 15403, 141850, 462854, 68769, 42289, 171779, 49931, 138507, 17072, 45888, 733553, 353023, 237347, 184652, 72614, 2161, 140952, 83333, 241857, 151613, 206018, 13134, 120812, 188867, 191771, 13514, 38773, 19557, 67089, 15475, 41892, 120760, 156682, 245967, 9384, 63866, 135639, 168666, 419235, 479462, 123210, 49213, 8978, 91744, 15079, 136226, 410161, 45386, 43887, 54968, 191240, 130167, 947026, 219698, 59187, 83050, 33656, 4319
00010017-fra.4, 2604518, 1075806, 7052550, 30630, 47665, 912088, 987034, 202881, 379761, 3919148, 4046706, 1347738, 3739632, 5207075, 275231, 1769312, 216873, 546475, 1312494, 8090752, 816714, 4981278, 1357230, 1917754, 8261289, 1191043, 2573644, 3465872, 1099534, 2231206, 5544113, 1982105, 371309, 764956, 693746, 3578977, 4074867, 78326, 3955225, 1603480, 7890161, 1382712, 234804, 2185459, 5488678, 1148864, 391237, 354234, 2615914, 1387908, 413524, 47001, 6182930, 1343989, 4626628, 831112, 1803873, 2019918, 13645321, 504239, 20386, 13487658, 2975901, 1837343, 116868, 304925, 791798, 7218899, 3806936, 4257, 10309102, 65487, 4219094, 2010063, 2356694, 65274, 323062, 4462325, 515749, 5507883, 4044, 558385, 2329372, 790868, 196656, 5200616, 2478443, 534849, 1787455, 990754, 1381514, 2139796, 1745525, 262773, 1522593, 9620214, 507359, 4188220, 722103, 4885791, 559960, 3970965, 4731244, 2157236, 210315, 1575976, 280099, 7123178, 10710689, 4291042, 1012353, 1012599, 1840807, 7783558, 8249858, 5882681, 2174903, 1351075, 203422, 1605935, 1687990, 2149000, 1232960, 6149721, 5676039, 4026703, 407654, 2096430, 2002137, 1800246, 1653486, 741744, 6041169, 2603363, 1442263, 3385027, 1710524, 5394998, 2374489, 355648, 286580, 173000, 6870916, 3659736, 4336110, 3176564, 4125950, 241930, 1012055, 1656148, 1730644, 4590359, 6275647, 893298, 2469845, 871200, 156563, 2932203, 7032235, 394834, 3720789, 2631440, 3279474, 74551, 1978817, 369186, 641612, 1469631, 4046389, 4551110, 141264, 1270241, 6431033, 874302, 3672886, 495535, 372547, 10214241, 978924, 5234169, 2891666, 846187, 3905993, 8611158, 790190, 753375, 2909020, 80989, 4435207, 517303, 1334649, 3049203, 1756858, 5389162, 1529454, 584739, 572854, 8035610, 2553955, 8012057, 9832469, 1320263, 2960758, 727505, 411363, 2110996, 7073120, 5355871, 3062747, 3462496, 5572937, 1059958, 435, 710113, 5049100, 2554256, 2099275, 16283274, 4551049, 6648286, 1431421, 125790, 967654, 4275904, 4906470, 214898, 10880380, 5074844, 266583, 1707221, 1032158, 5041518, 2432782, 2875939, 3288495, 1001755, 3314959, 60799, 3267730, 647992
00010021-fra.2, 116753820, 126608780, 85381369, 37339815, 38178412, 30526940, 144709432, 102049393, 75224181, 1767553, 222993490, 239519018, 8187997, 253188206, 80076625, 185502695, 983765, 78157564, 181763368, 655581, 84041458, 7591415, 144295053, 8185354, 98072579, 35746609, 32574840, 25506293, 18236924, 141265109, 284448157, 170346177, 241475585, 160763968, 135044692, 149445685, 5090424, 80074142, 180524414, 398947028, 425425470, 177547932, 122429818, 290590137, 156046907, 61661777, 94663669, 123685048, 175889271, 35188570, 198178906, 115822043, 115368013, 175845657, 44167714, 33085711, 237740068, 379324830, 127328773, 157847779, 7011956, 21451918, 53236260, 251605967, 53943384, 189628407, 477175714, 68371567, 64129544, 77358659, 11033747, 72947932, 35001531, 153934392, 45116781, 2763659, 45688712, 902408, 229236954, 6829864, 122694781, 17022009, 37010891, 27271897, 195856760, 200984740, 6667776, 64755030, 25054781, 6455457, 280685831, 69841925, 12325453, 44845784, 42173732, 124892978, 53383776, 58113933, 25933503, 151608316, 137424638, 49264968, 43177338, 122894799, 124578084, 55977803, 37109012, 175323796, 157722708, 11601643, 47610834, 99851843, 10020473, 51277523, 37273048, 83966493, 207629383, 13822961, 6482365, 252720922, 267587428, 2381908, 68317463, 51730566, 42942081, 203219061, 54019153, 234571416, 29505750, 81789550, 1552251, 184736759, 281848056, 204526137, 70861496, 186389447, 5609617, 136179346, 35003058, 10164701, 11997067, 10530011, 63059478, 162238308, 18423525, 132305604, 1672719, 131956741, 36500117, 17991596, 227990512, 29872505, 37116666, 7288230, 782247829, 448269072, 20551962, 26837945, 69215406, 190011723, 154667465, 335487341, 280664974, 52116581, 199358189, 219608781, 128428009, 52721106, 26902320, 5509080, 32427928, 71446320, 7406914, 191563046, 14050338, 325037892, 82573834, 50062074, 15312644, 94782006, 335678793, 193046658, 116773242, 51696993, 56757889, 31733480, 129983666, 13128411, 178686138, 250622736, 61177256, 59409740, 4833144, 145267870, 87313033, 37757761, 34090055, 188924738, 28451601, 142154451, 150781391, 59275949, 328683696, 241097858, 174151499, 181919388, 301349751, 72157825, 34490264, 95115744, 134207656, 25336802, 146484900, 118341936, 1817475, 44104153, 152728810, 32786140, 13685430, 272395489, 43319925, 207414290, 140155387, 13061504, 13297908, 82720294, 93680170, 63598521, 191078772, 375478671, 152245078, 198285122, 127455884, 46592434, 141539979, 8987780, 52940837, 80837808, 40928589, 27996685
00010030-fra.2, 382098121, 73541578, 138074852, 245254024, 167658871, 46926628, 113122974, 153161514, 858168857, 14910812, 320971508, 60156599, 2261063, 25156503, 14016525, 180343449, 10262511, 55150483, 76010947, 236544102, 166976800, 132762337, 287705328, 257784056, 34860381, 163257615, 29541269, 327059216, 69565426, 256993327, 51121418, 787696230, 28041156, 514060319, 22760348, 68988876, 100007854, 34631453, 58223908, 183018697, 266777827, 453590400, 32496980, 554417903, 87308279, 15736118, 4646257, 108173461, 135091026, 909209, 37188211, 53191603, 591987348, 192283653, 24988910, 717597523, 181528472, 3398309, 69870152, 138100308, 140119305, 80485038, 17683089, 200823032, 50676113, 25078144, 421389724, 27298300, 27286702, 227953151, 99638172, 27011352, 331791776, 7182792, 416980136, 585380059, 316250464, 144266490, 66413036, 165712237, 5632386, 100906723, 85704792, 338463779, 117111721, 308265377, 11726341, 48989918, 75315889, 16605725, 52887488, 102032201, 105948003, 162375154, 133672231, 91517316, 237080874, 232422657, 60006085, 3690675, 150893387, 230637386, 198832279, 172746795, 101697294, 190888385, 51745064, 173913018, 41638078, 390681682, 71356404, 34059051, 72897399, 342429903, 115198196, 41898622, 821883001, 41565685, 299384218, 16903140, 1159144153, 136946616, 440402048, 257770811, 102393354, 165751286, 455900411, 205257664, 180559808, 3480416, 14067133, 527534720, 312033019, 46129677, 55179148, 107806376, 94031963, 215790133, 289189959, 730569836, 47642186, 169650182, 35779381, 91880780, 91733625, 403067007, 5672558, 133294347, 2043713, 21656532, 212412226, 103560338, 47834794, 46821451, 396770914, 255148025, 115310417, 119876774, 167218827, 214677491, 140785493, 3670179, 42054668, 201646206, 330889039, 23246064, 216797224, 117632540, 5916981, 115693218, 391291571, 110463402, 22982918, 110852086, 230877557, 27103021, 196655210, 432139979, 3146790, 41039117, 116912410, 67928802, 109612378, 20036294, 354265068, 65225742, 285527026, 95468246, 177264548, 179834456, 44111133, 228785001, 149229976, 267323265, 9882854, 20341039, 99104417, 35120626, 29814739, 87891519, 93568498, 443339015, 75338266, 45542960, 74867322, 88150105, 365638107, 322774206, 313640655, 358417913, 39635147, 371574254, 101486023, 272769671, 289434788, 491679179, 62582053, 441894575, 328542608, 217166107, 25194334, 194226415, 125934030, 57480294, 327792824, 232828704, 69815711, 68219517, 46541207, 48754490, 103467347, 289175750, 140414812, 145084109, 186479413, 41201692, 12035938, 123214089, 449621208, 40615813
00010035-fra.2, 44110114, 146607126, 632897537, 41395419, 55952379, 563955511, 117443606, 241864312, 458240320, 87618096, 351475274, 221575697, 4782751, 382618362, 1043114096, 1429769192, 232359180, 747256721, 192865371, 773790848, 603917050, 45927921, 144303598, 38832380, 599347472, 1502905092, 1076011731, 822854666, 192638370, 120883768, 395567541, 5607390, 980495563, 119518673, 73883191, 225215030, 315497352, 98811403, 166888522, 1401143064, 462240855, 560310709, 1035174443, 427746118, 1753113160, 64992365, 1265650106, 258649162, 660918953, 590538012, 979399932, 382546326, 636119854, 522789818, 43477476, 117930791, 440832964, 87314182, 26662475, 269994411, 1180260092, 8880310, 42268967, 501200612, 55255408, 248424613, 1136836815, 144233700, 726141460, 23283123, 166990152, 48671410, 549430801, 64482147, 1555042072, 917557656, 271027568, 1303721981, 124797676, 87364395, 1444428167, 286695312, 16220902, 419466994, 1210745336, 1551554277, 789667512, 363362511, 239547906, 534279310, 395780421, 1191343633, 1475986615, 331976237, 779756451, 863185932, 310252196, 385543739, 387239175, 61370161, 184295487, 929430651, 78620409, 337549548, 55358322, 688327753, 1014624631, 305177435, 449778729, 52315960, 934452610, 58117783, 109863331, 281270834, 353825736, 658243848, 655459180, 217327779, 158408334, 1477837708, 598628576, 537380466, 430994926, 625044245, 229335568, 1600791441, 261161347, 526779001, 110909045, 562053982, 21548451, 977466978, 809866850, 253450252, 192129375, 78074738, 896329619, 87175462, 1012062985, 24178801, 1754508912, 556115517, 1011449000, 22182492, 470304049, 1266458227, 930035972, 1165317739, 95990484, 97341701, 685786510, 264505878, 501625601, 224903544, 447521302, 105547111, 833901757, 108383264, 390308572, 741047703, 1131976325, 1068937404, 251787794, 8399681, 381330058, 54235099, 726600160, 394737837, 11045348, 109978639, 900224569, 191143462, 326070675, 875804091, 269093413, 627298739, 1003903818, 65597534, 147211207, 238852106, 628028050, 453186546, 107769673, 737524210, 340968952, 321855437, 312774361, 286861683, 930702047, 73246726, 17737174, 384730560, 729387477, 259909137, 854329543, 1237368787, 144107283, 352280108, 93838828, 219307774, 103866835, 126726265, 502077107, 915300824, 539440334, 214198050, 467929011, 250135362, 583660401, 333873462, 256147777, 933839085, 339822258, 52451268, 44526412, 115923121, 16214975, 339361957, 945455561, 927746354, 291181168, 823373710, 116581821, 134818853, 388550271, 399225061, 194272765, 484177821, 360778887, 57225743, 176085089, 594049014, 384054033, 761429863, 829906254, 136480378, 270719980, 489578590, 505521931, 502687451
00010045-eng.2, 379020621, 217084829, 260105120, 391067615, 471081272, 168261193, 262534281, 7754561, 26708401, 337648311, 37856876, 266666958, 862015983, 269389672, 1107525395, 176211613, 1041112739, 650069168, 662202308, 119581066, 534750962, 725912127, 16680249, 202174420, 1749211376, 23388879, 313377462, 1000834453, 50406966, 235672744, 355265367, 42978869, 435165505, 983664683, 317992612, 37978271, 12125014, 10825648, 1062047179, 527174879, 162241100, 473921719, 410429194, 311270309, 319453180, 377082215, 551874526, 250405434, 480420626, 120591025, 786464392, 404560887, 252615569, 296251017, 1142627030, 651375896, 536909488, 285467193, 340255100, 329766523, 673610938, 769824783, 115172445, 4121429, 63645620, 131359673, 111972276, 1490063984, 459621793, 832886185, 12159623, 220388856, 15606523, 536278530, 1193916110, 121135427, 829813828, 305599365, 1001257648, 18267749, 279967896, 21418110, 211718741, 418207406, 107778947, 70392947, 772670637, 573082785, 668082757, 373903403, 184405307, 1637618935, 3580791, 210454647, 630702832, 136112450, 151607701, 211450958, 544926237, 42378713, 132997289, 356070477, 653474248, 820030099, 121971866, 1305193902, 383267985, 58253585, 592212438, 1867544026, 439042677, 94626575, 101661948, 150792931, 893862926, 412172873, 1102906144, 574563068, 1420943377, 104824170, 24822174, 786097181, 608331773, 42032128, 660932908, 71576475, 434619824, 104899048, 2984045, 904554235, 1666930, 77661627, 533508706, 100180906, 1781079562, 861197240, 387089136, 282985140, 172446876, 334638788, 25119049, 18969090, 334886840, 85899452, 158882921, 307839256, 222813629, 64532864, 107760798, 2220997240, 224461601, 802418206, 99542092, 595078124, 121427623, 181887484, 919748779, 866098854, 45750383, 965759259, 1278270888, 498204618, 450407260, 497937819, 2558321204, 290428752, 14846931, 148533262, 468779054, 603459596, 248712618, 14803973, 413551371, 66627613, 175556979, 90099742, 587842660, 386423751, 685252189, 719630975, 478624455, 40797531, 560774582, 496475480, 17223930, 944566877, 705995881, 297379898, 93983696, 796035413, 123089720, 947956409, 243100630, 674848139, 175951161, 146641803, 370285801, 358495332, 164411774, 173064777, 31380568, 78270243, 737498304, 20323380, 961444197, 243373212, 974083505, 169094297, 201409036, 121826146, 607754247, 47860822, 119176169, 334860197, 639627432, 1455098881, 11975739, 674479104, 775394447, 1111226530, 340902554, 173372057, 274372877, 495026789, 524024727, 783584563, 161483429, 304991917, 501361593, 120484187, 1028678400, 77528290, 3764718, 1183009448, 858585825, 59551213, 689075167, 345189455, 367362453, 320842418
00010053-fra.4, 45350187, 41586823, 47928877, 41652617, 31142947, 3936904, 15982592, 2292277, 78906555, 18731587, 108272508, 36379266, 23140782, 70934268, 76401777, 42459243, 12276824, 9138918, 962280, 3776780, 81547482, 30564228, 51036384, 59505062, 14853556, 3981651, 54343694, 5228398, 96364877, 119359808, 12599952, 17621764, 122094866, 40039163, 157962184, 9429055, 46563538, 8123279, 102776472, 23013953, 59852790, 16221294, 46955618, 10118606, 30371398, 83572922, 8253913, 19164162, 133884642, 37727464, 15906808, 13266814, 24440146, 32394534, 41066749, 33035582, 6190865, 125153952, 29606890, 10558269, 27684392, 15921718, 8658763, 12436975, 79967099, 7619079, 57142170, 59861504, 49229656, 18950982, 17142951, 2503588, 47404504, 9668845, 2515161, 30568316, 106387385, 1781513, 9984877, 129997487, 12320165, 17894622, 53233318, 84208791, 55566926, 26628283, 25941381, 76654175, 137593296, 6258439, 21116452, 136654602, 262145076, 766015, 47033743, 10873891, 13510865, 50893442, 61005342, 588993, 132321048, 50197124, 466048, 43840333, 38987053, 36007469, 50329201, 17237651, 10728544, 8562439, 16896400, 67341170, 120346842, 26888159, 34972383, 46870765, 17954418, 2664719, 49050973, 38571281, 17039708, 40598472, 72694296, 123259629, 44788511, 4008998, 65865070, 26435065, 249235, 20326691, 64963946, 75230075, 90213573, 27836734, 14181725, 71622064, 11802094, 63867383, 44888861, 14319696, 68940140, 111566778, 36222179, 12337498, 30554959, 13181411, 148859018, 9558314, 94184607, 43948389, 6226392, 102136652, 49529351, 11746251, 60351716, 22658032, 92221446, 115413224, 8758199, 124382843, 19950585, 6606426, 70263884, 67811089, 70084516, 24764453, 68211817, 5695238, 88875473, 7548280, 16117836, 56200609, 18412326, 1025138, 52794088, 69803932, 11178297, 17648752, 157428551, 2803772, 5163118, 25380351, 19800139, 9093610, 2595453, 38891153, 25643588, 29502749, 22393356, 4211215, 4801261, 21949900, 7091490, 252548726, 99025349, 128444649, 76819956, 27106990, 48528944, 16687376, 30562391, 14880095, 30895796, 135409177, 17177607, 122511109, 2106189, 20991832, 33872964, 26760106, 10154983, 17789957, 26039378, 27529860, 77994540, 20378979, 48385214, 6076431, 3162716, 103270459, 16104305, 7158867, 14812324, 25996434, 89666805, 11064545, 12206297, 20401813, 65617593, 39151221, 148357039, 12858188, 24682419, 5373637, 62481044, 6353541, 70736417, 12160124, 195663022, 93922010
00010058-fra.3, 17118655, 71505619, 83592822, 104789416, 69837667, 147122594, 779224678, 167118786, 115018615, 106171227, 567649090, 219100021, 173640137, 187087705, 58176893, 237793826, 126401391, 21481406, 93845711, 517495843, 135080029, 215747504, 389498763, 115833852, 73862917, 183614309, 87731092, 170928906, 436411217, 99439641, 19467961, 226066610, 16184769, 111603818, 143787791, 62235128, 140504575, 217598475, 190841654, 856163, 42455940, 64594447, 177930644, 44772709, 6895571, 456880, 320633170, 42279642, 56578500, 159591982, 88490422, 46369862, 209539262, 18162630, 83905626, 68200212, 98026041, 3757404, 59174914, 389894040, 280153123, 209689498, 11648602, 31376822, 89484319, 294550363, 39640295, 12009626, 4938248, 4888778, 353303020, 1931064, 114815663, 468130641, 97216904, 107903480, 169541, 61337408, 371089067, 118883854, 125810996, 312098209, 89134268, 160006265, 39906543, 159072147, 39403510, 112109215, 212919991, 170618908, 199735129, 477097875, 98344290, 34338956, 566685928, 34464679, 222077209, 203605703, 162398052, 1143761, 248211206, 190521768, 42331609, 85656096, 186305300, 125089163, 133600533, 23620058, 184583227, 92874491, 120621172, 103394852, 40349327, 279532598, 27603701, 251424523, 41752359, 50069246, 79352482, 28618849, 105609187, 74629034, 111556233, 1244463, 226793701, 18792870, 12909289, 200522856, 9643932, 135062966, 111055221, 43499840, 151359303, 148399520, 32435652, 27940178, 355149824, 39017422, 13407528, 99654596, 79324723, 16440888, 152553677, 103277350, 177070267, 181979731, 96945973, 47428752, 156339779, 102120507, 109587592, 155659337, 85184565, 171265890, 159535640, 72316425, 263143544, 102783752, 127903843, 366196289, 48651554, 14281098, 93014218, 116535956, 292487563, 35825, 7254104, 161730858, 283313112, 290465897, 99401833, 261155117, 595099788, 131446029, 26454796, 296881694, 15515696, 83683414, 62446308, 87361245, 44822966, 112880468, 172472884, 140306366, 242723290, 312675828, 63261706, 112894163, 43665726, 12108343, 194335139, 145642009, 24502642, 191711035, 115095272, 104726383, 181653409, 192593667, 20475857, 56779393, 207224474, 46377418, 301173591, 234007675, 179458039, 131478766, 99788325, 63422585, 320249981, 76601580, 36926078, 46696474, 25129723, 128720709, 180428933, 382128616, 332838451, 122979728, 36825785, 73020512, 400541848, 260520682, 44034205, 19216727, 6094567, 20357659, 104693547, 29303543, 62143332, 4981114, 209265844, 81913071, 109380306, 44538347, 135787193, 367811, 143017024, 99859881, 25221083, 61383862
